dates,years,month,day_of_week,holiday,demand,dewpnt,drybulb,log_demand,std_demand
733408,2008,Jan,Tue,1,344760,0.483027393391697,0.337113282158642,12.7506038017613,0.425154750933546
733409,2008,Jan,Wed,0,390099,0.361592770403841,0.269364968597348,12.8741558320462,0.581496946750442
733410,2008,Jan,Thu,0,431247,0.134651228466535,0.0893812514538265,12.9744362907818,0.70839139826289
733411,2008,Jan,Fri,0,416866,0.247444224795256,0.202081879506862,12.9405201062136,0.665474007452741
733412,2008,Jan,Sat,0,363081,0.380118610561988,0.343335659455687,12.8023812288507,0.490673679487288
733413,2008,Jan,Sun,0,338633,0.532448460886755,0.43440334961619,12.7326722040622,0.402464186057142
733414,2008,Jan,Mon,0,362265,0.607568483479243,0.488136775994417,12.8001312671931,0.487826587899732
733415,2008,Jan,Tue,0,352852,0.670658006212934,0.561235170969993,12.7738039845438,0.454512160206452
733416,2008,Jan,Wed,0,352194,0.629878565377012,0.583158874156781,12.771937439124,0.452150241840098
733417,2008,Jan,Thu,0,359180,0.464727478113527,0.46231681786462,12.7915789345727,0.477004503809741
733418,2008,Jan,Fri,0,364853,0.59610279582039,0.451093277506397,12.8072498117172,0.496834362837481
733419,2008,Jan,Sat,0,332650,0.531092911606891,0.455338450802512,12.71484616517,0.379907194830924
733420,2008,Jan,Sun,0,333000,0.475854278452415,0.396545708304257,12.7158977689626,0.381237889645709
733421,2008,Jan,Mon,0,377343,0.481389438011861,0.350953710165155,12.8409098671236,0.539427648932586
733422,2008,Jan,Tue,0,380906,0.43880259813612,0.325657129565015,12.8503079045086,0.551319884112779
733423,2008,Jan,Wed,0,388041,0.328833662807117,0.292335426843452,12.8688662831258,0.574803574806763
733424,2008,Jan,Thu,0,393317,0.357243716464276,0.277680856013026,12.8823711814878,0.591892613807824
733425,2008,Jan,Fri,0,369125,0.507822648969218,0.425622237729705,12.8188906190462,0.511564589242574
733426,2008,Jan,Sat,0,353094,0.345890991245411,0.345603628750872,12.7744895894187,0.455379721600181
733427,2008,Jan,Sun,0,356936,0.251623835074838,0.253954408001861,12.785311772982,0.46907406509194
733428,2008,Jan,Mon,1,404342,0.18780005648122,0.19283554314957,12.9100163334884,0.626874667583037
733429,2008,Jan,Tue,0,400312,0.374075120022592,0.305943242614562,12.8999995220482,0.614199438434401
733430,2008,Jan,Wed,0,381278,0.354589099124541,0.350895557106304,12.8512840468299,0.552555090313779
733431,2008,Jan,Thu,0,393046,0.319853148828015,0.270353570597813,12.8816819323478,0.591020440976993
733432,2008,Jan,Fri,0,395305,0.259079356114092,0.240869969760409,12.8874128978261,0.598272379491927
733433,2008,Jan,Sat,0,364650,0.334368822366563,0.285298906722494,12.8066932684124,0.496130115386926
733434,2008,Jan,Sun,0,358436,0.417339734538266,0.311235170969993,12.7895054014671,0.474380664135971
733435,2008,Jan,Mon,0,386917,0.350522451284948,0.326413119330077,12.8659654787256,0.571132909674736
733436,2008,Jan,Tue,0,379215,0.413386049138661,0.365899046289835,12.8458586055427,0.545689760766624
733437,2008,Jan,Wed,0,371935,0.510364303868964,0.440102349383578,12.8264743868052,0.521161055616074
733438,2008,Jan,Thu,0,381345,0.303981926009602,0.322575017445918,12.8514597561914,0.552777432167076
733439,2008,Feb,Fri,0,385098,0.462637672973736,0.353454291695743,12.8612531263333,0.565169919679444
733440,2008,Feb,Sat,0,337447,0.53640214628636,0.444870900209351,12.7291637399261,0.398024590967366
