,date,year,month,day_of_week,holiday,demand,drybulb,dewpnt
0,2008-01-01,2008,Jan,Tue,True,344760.0,28.671875,24.791666666666668
1,2008-01-02,2008,Jan,Wed,False,390099.0,22.604166666666668,13.59375
2,2008-01-03,2008,Jan,Thu,False,431247.0,6.484375,-7.333333333333333
3,2008-01-04,2008,Jan,Fri,False,416866.0,16.578125,3.0677083333333335
4,2008-01-05,2008,Jan,Sat,False,363081.0,29.229166666666668,15.302083333333334
5,2008-01-06,2008,Jan,Sun,False,338633.0,37.385416666666664,29.348958333333332
6,2008-01-07,2008,Jan,Mon,False,362265.0,42.197916666666664,36.276041666666664
7,2008-01-08,2008,Jan,Tue,False,352852.0,48.744791666666664,42.09375
8,2008-01-09,2008,Jan,Wed,False,352194.0,50.708333333333336,38.333333333333336
9,2008-01-10,2008,Jan,Thu,False,359180.0,39.885416666666664,23.104166666666668
10,2008-01-11,2008,Jan,Fri,False,364853.0,38.880208333333336,35.21875
11,2008-01-12,2008,Jan,Sat,False,332650.0,39.260416666666664,29.223958333333332
12,2008-01-13,2008,Jan,Sun,False,333000.0,33.994791666666664,24.130208333333332
13,2008-01-14,2008,Jan,Mon,False,377343.0,29.911458333333332,24.640625
14,2008-01-15,2008,Jan,Tue,False,380906.0,27.645833333333332,20.713541666666668
15,2008-01-16,2008,Jan,Wed,False,388041.0,24.661458333333332,10.572916666666666
16,2008-01-17,2008,Jan,Thu,False,393317.0,23.348958333333332,13.192708333333334
17,2008-01-18,2008,Jan,Fri,False,369125.0,36.598958333333336,27.078125
18,2008-01-19,2008,Jan,Sat,False,353094.0,29.432291666666668,12.145833333333334
19,2008-01-20,2008,Jan,Sun,False,356936.0,21.223958333333332,3.453125
20,2008-01-21,2008,Jan,Mon,True,404342.0,15.75,-2.4322916666666665
21,2008-01-22,2008,Jan,Tue,False,400312.0,25.880208333333332,14.744791666666666
22,2008-01-23,2008,Jan,Wed,False,381278.0,29.90625,12.947916666666666
23,2008-01-24,2008,Jan,Thu,False,393046.0,22.692708333333332,9.744791666666666
24,2008-01-25,2008,Jan,Fri,False,395305.0,20.052083333333332,4.140625
25,2008-01-26,2008,Jan,Sat,False,364650.0,24.03125,11.083333333333334
26,2008-01-27,2008,Jan,Sun,False,358436.0,26.354166666666668,18.734375
